id,name,state,acceptance_rate,avg_sat,avg_act,avg_gpa,tuition_in_state,tuition_out_state,room_board,total_cost_in_state,total_cost_out_state,campus_size,student_population,graduation_rate,retention_rate,selectivity_score,affordability_score,quality_score,top_majors,location_type,public_private,religious_affiliation,athletics_division
41,University of Texas,MA,0.489,1585,21,3.04,15825,56399,12269,28094,68668,Small,5097,0.754,0.817,0.703,0.649,0.752,"['Mathematics', 'History', 'Physics', 'Economics', 'Psychology', 'Education']",Rural,Private,Other,NCAA Division III
42,University of Wisconsin (OR),OR,0.312,1030,34,3.33,35765,76151,19599,55364,95750,Large,10459,0.713,0.864,0.67,0.308,0.741,"['Architecture', 'Music', 'Physics', 'Psychology', 'Art']",Rural,Private,None,NAIA
43,Purdue University,NY,0.113,1434,18,2.98,35141,64512,16727,51868,81239,Medium,43990,0.91,0.731,0.891,0.352,0.849,"['Law', 'Chemistry', 'Political Science', 'Art', 'Economics', 'Computer Science', 'Music', 'Business']",Rural,Public,None,NCAA Division II
44,"University of California, San Diego",WA,0.068,1316,21,3.15,50770,75583,11193,61963,86776,Medium,10631,0.707,0.787,0.888,0.225,0.803,"['Computer Science', 'Physics', 'Economics', 'Engineering', 'Medicine', 'Nursing']",Rural,Public,Other,None
45,Southern Methodist University,CA,0.587,1460,29,2.78,36660,56856,12638,49298,69494,Medium,4852,0.749,0.746,0.613,0.384,0.694,"['Education', 'Medicine', 'Environmental Science', 'Physics', 'History', 'Business']",Rural,Private,None,NAIA
46,University of Wisconsin,WI,0.06,1250,32,3.52,23394,39609,14962,38356,54571,Medium,44301,0.766,0.86,0.876,0.521,0.838,"['Education', 'English', 'Psychology', 'Economics', 'Biology', 'Engineering', 'Architecture']",Urban,Private,Other,NAIA
47,Villanova University,OR,0.53,1217,27,3.1,40434,70281,11831,52265,82112,Large,7435,0.624,0.765,0.586,0.347,0.651,"['Art', 'Economics', 'Education', 'Political Science', 'Biology']",Rural,Public,None,None
48,Emory University (AZ),AZ,0.597,1375,33,2.84,22560,22529,18191,40751,40720,Large,6594,0.651,0.956,0.586,0.491,0.716,"['Engineering', 'Art', 'Medicine', 'Education']",Rural,Private,None,NCAA Division II
49,University of Notre Dame,UT,0.496,1254,28,3.39,49852,29581,11837,61689,41418,Medium,41097,0.884,0.733,0.616,0.229,0.731,"['Music', 'Architecture', 'Art', 'Mathematics', 'Biology', 'Education']",Suburban,Private,None,NCAA Division I
50,University of Rochester,NY,0.223,1149,21,3.13,12623,29712,12392,25015,42104,Medium,7830,0.883,0.828,0.754,0.687,0.815,"['English', 'Engineering', 'Law', 'Nursing', 'Physics']",Suburban,Public,Catholic,NCAA Division II
51,Stanford University,MA,0.374,1077,29,3.51,45725,78809,10311,56036,89120,Medium,3086,0.796,0.809,0.645,0.3,0.739,"['Computer Science', 'Mathematics', 'Chemistry', 'Education']",Rural,Public,None,NCAA Division I
52,Arizona State University,IA,0.648,1159,18,2.95,48568,34820,15277,63845,50097,Medium,39586,0.972,0.932,0.501,0.202,0.772,"['Economics', 'History', 'Law', 'Biology']",Rural,Public,Catholic,NCAA Division III
53,Tufts University (IL),IL,0.909,1300,36,2.7,31172,28929,14175,45347,43104,Large,39035,0.864,0.786,0.38,0.433,0.647,"['Medicine', 'Nursing', 'Art', 'Law', 'English', 'History', 'Music', 'Biology']",Rural,Private,Other,NCAA Division II
54,Princeton University,IA,0.48,1570,24,2.53,13930,19724,17650,31580,37374,Small,37941,0.708,0.875,0.705,0.605,0.757,"['Economics', 'Education', 'Physics', 'Music']",Rural,Public,Jewish,NAIA
55,Yale University,CA,0.825,1087,31,3.85,40904,65558,8912,49816,74470,Medium,15918,0.727,0.802,0.377,0.377,0.61,"['Mathematics', 'Music', 'Nursing', 'Art', 'Education', 'Economics', 'English']",Suburban,Public,Catholic,NAIA
56,Harvard University,MN,0.655,1110,21,3.15,11672,68186,18801,30473,86987,Small,17904,0.6,0.929,0.485,0.619,0.653,"['Economics', 'Environmental Science', 'Political Science', 'Business', 'Nursing']",Urban,Private,Catholic,NAIA
57,Syracuse University,MA,0.822,1135,20,3.26,40203,51351,18892,59095,70243,Small,25745,0.704,0.923,0.391,0.261,0.644,"['Medicine', 'Environmental Science', 'Political Science', 'Law', 'Psychology', 'Architecture']",Rural,Public,Jewish,NCAA Division III
58,University of Rochester,IN,0.764,1381,31,3.63,30979,24997,8799,39778,33796,Medium,33724,0.629,0.954,0.487,0.503,0.67,"['Physics', 'Psychology', 'Biology', 'Business']",Suburban,Private,Other,NCAA Division I
59,Tufts University,CA,0.184,1031,18,4.0,40484,15255,19935,60419,35190,Small,9557,0.731,0.93,0.747,0.245,0.797,"['Economics', 'Nursing', 'Psychology', 'Education', 'Environmental Science', 'English', 'Law', 'Architecture']",Suburban,Private,Protestant,NAIA
60,University of Wisconsin,IN,0.205,1095,21,3.17,47715,52833,15982,63697,68815,Medium,6904,0.891,0.824,0.751,0.204,0.815,"['Engineering', 'Physics', 'Business', 'Economics', 'Psychology', 'Chemistry']",Suburban,Private,Catholic,NCAA Division I
61,Emory University (CT),CT,0.357,1139,31,2.6,57818,35571,14817,72635,50388,Large,1029,0.638,0.792,0.671,0.092,0.697,"['Education', 'Architecture', 'Music', 'Mathematics']",Urban,Private,Catholic,None
62,Vanderbilt University,IA,0.809,1041,27,2.59,16171,36414,9007,25178,45421,Small,27988,0.693,0.806,0.375,0.685,0.6,"['English', 'Psychology', 'Chemistry', 'Nursing', 'Music', 'Mathematics']",Urban,Private,Protestant,NCAA Division III
63,Duke University (UT),UT,0.223,1259,25,3.1,11482,23932,9506,20988,33438,Medium,37683,0.703,0.939,0.781,0.738,0.805,"['Computer Science', 'Education', 'History']",Urban,Public,Other,NAIA
64,Cornell University (IL),IL,0.945,1283,25,2.9,52564,34591,16681,69245,51272,Medium,38604,0.754,0.92,0.354,0.134,0.644,"['Environmental Science', 'Engineering', 'Mathematics', 'Medicine', 'Law', 'Physics', 'Business']",Suburban,Private,Other,NAIA
65,Villanova University,CT,0.86,1365,28,3.15,48997,41452,10187,59184,51639,Medium,23093,0.974,0.751,0.425,0.26,0.687,"['Computer Science', 'Medicine', 'Political Science']",Rural,Public,None,None
66,Lehigh University,NJ,0.203,1063,30,3.03,52672,38866,8021,60693,46887,Small,34003,0.633,0.776,0.744,0.241,0.72,"['Business', 'Education', 'Art']",Suburban,Public,None,NCAA Division I
67,Wake Forest University (IA),IA,0.235,1105,23,3.88,21942,32199,13310,35252,45509,Medium,33933,0.881,0.954,0.735,0.559,0.845,"['Political Science', 'Economics', 'Computer Science', 'Architecture', 'Law']",Rural,Private,Catholic,NCAA Division II
68,Purdue University,CO,0.799,1435,36,3.55,57742,52260,14195,71937,66455,Large,45967,0.699,0.82,0.479,0.101,0.647,"['Architecture', 'Medicine', 'Physics', 'Computer Science', 'Law', 'Environmental Science']",Suburban,Private,Jewish,NCAA Division III
69,University of Rochester (MI),MI,0.676,1393,35,3.11,24383,75622,19025,43408,94647,Large,2139,0.62,0.905,0.543,0.457,0.675,"['Education', 'Art', 'Physics', 'English']",Suburban,Private,Catholic,NAIA
70,University of Colorado,NJ,0.2,1599,25,3.72,15629,28457,16124,31753,44581,Large,22397,0.733,0.837,0.88,0.603,0.823,"['Psychology', 'Environmental Science', 'Nursing', 'History', 'Engineering', 'Music', 'Art', 'Chemistry']",Urban,Private,Protestant,NAIA
71,Duke University (PA),PA,0.152,1450,24,3.24,37591,73727,14947,52538,88674,Large,42348,0.764,0.909,0.871,0.343,0.85,"['English', 'Music', 'Engineering', 'Psychology', 'Education', 'History', 'Environmental Science']",Rural,Public,Other,NAIA
72,Harvard University,MA,0.747,1379,34,3.91,54172,49060,18496,72668,67556,Large,29605,0.657,0.872,0.497,0.092,0.657,"['Mathematics', 'Medicine', 'Nursing', 'Law', 'Art', 'Environmental Science', 'Business']",Rural,Private,Other,NAIA
73,Purdue University,MN,0.52,1033,36,2.71,10458,28248,16046,26504,44294,Medium,48451,0.616,0.733,0.546,0.669,0.623,"['Art', 'Computer Science', 'Chemistry', 'Nursing', 'Biology', 'Psychology', 'History']",Rural,Private,Protestant,NCAA Division II
74,Indiana University,WA,0.076,1218,20,3.01,9065,54900,12589,21654,67489,Medium,23489,0.618,0.776,0.859,0.729,0.762,"['Psychology', 'Computer Science', 'Art', 'History']",Urban,Public,Catholic,NCAA Division III
75,Ohio State University,CO,0.083,1126,23,3.93,41388,52709,17899,59287,70608,Small,15679,0.651,0.907,0.832,0.259,0.8,"['Education', 'Mathematics', 'Economics', 'Political Science', 'Law', 'Psychology', 'English']",Suburban,Private,Other,None
76,Syracuse University (TX),TX,0.299,1562,22,2.53,50267,35583,8367,58634,43950,Small,13603,0.763,0.711,0.811,0.267,0.767,"['English', 'Psychology', 'Chemistry', 'Art', 'Biology', 'Economics', 'Mathematics']",Rural,Public,None,NCAA Division III
77,Yale University,WA,0.134,1299,34,2.66,37473,43396,12512,49985,55908,Medium,3730,0.871,0.945,0.844,0.375,0.882,"['Biology', 'Environmental Science', 'Medicine']",Urban,Public,Jewish,NCAA Division III
78,Georgetown University,NJ,0.678,1288,35,3.73,9077,72153,8597,17674,80750,Medium,44890,0.946,0.734,0.515,0.779,0.71,"['Education', 'Environmental Science', 'Architecture', 'Medicine']",Rural,Private,Other,NCAA Division I
79,University of Arizona (NY),NY,0.896,1288,25,2.77,42988,32561,11363,54351,43924,Small,36351,0.6,0.941,0.384,0.321,0.616,"['Biology', 'Political Science', 'Music', 'Business', 'Mathematics', 'Art', 'History', 'Chemistry']",Rural,Public,Jewish,None
80,Ohio State University,CA,0.244,1379,26,3.89,8421,33253,18050,26471,51303,Small,16851,0.671,0.792,0.799,0.669,0.759,"['Art', 'Mathematics', 'Biology', 'Psychology', 'English', 'Medicine', 'Law']",Urban,Private,Jewish,NAIA
81,University of Iowa,WA,0.126,1180,24,2.52,56148,44505,10239,66387,54744,Small,21741,0.836,0.895,0.82,0.17,0.847,"['Nursing', 'Business', 'History', 'Medicine', 'Architecture']",Rural,Private,Catholic,None
82,University of Chicago (NY),NY,0.139,1485,23,3.81,53439,34474,17879,71318,52353,Small,8574,0.886,0.948,0.888,0.109,0.905,"['Mathematics', 'Engineering', 'Physics', 'Education']",Suburban,Private,Jewish,NAIA
83,"University of California, Davis",IN,0.062,1333,35,2.71,49873,77077,8070,57943,85147,Small,3345,0.846,0.728,0.896,0.276,0.831,"['Music', 'Engineering', 'Economics', 'Biology', 'Political Science', 'Chemistry', 'Architecture', 'History']",Rural,Public,Protestant,NAIA
84,"University of California, Berkeley (CT)",CT,0.729,1165,26,3.51,15818,72607,12604,28422,85211,Medium,16754,0.845,0.943,0.454,0.645,0.718,"['Law', 'Art', 'Physics', 'Medicine']",Urban,Private,Other,NCAA Division I
85,University of Minnesota,UT,0.14,1542,31,3.55,6429,64485,8437,14866,72922,Small,27041,0.672,0.86,0.901,0.814,0.82,"['Art', 'Business', 'Education', 'Chemistry']",Rural,Public,None,None
86,Northwestern University,TX,0.921,1078,34,3.01,48168,54270,16117,64285,70387,Small,3330,0.856,0.721,0.317,0.196,0.6,"['Nursing', 'Mathematics', 'English', 'Psychology', 'Economics', 'Physics']",Urban,Private,Protestant,NCAA Division III
87,Georgetown University (CO),CO,0.143,1012,31,2.81,36292,31243,14760,51052,46003,Medium,42448,0.773,0.803,0.767,0.362,0.78,"['Mathematics', 'History', 'Medicine', 'Law', 'Environmental Science', 'English', 'Physics', 'Political Science']",Rural,Public,Other,None
88,University of North Carolina,WI,0.453,1471,27,3.06,42358,57712,13060,55418,70772,Small,45588,0.847,0.745,0.696,0.307,0.756,"['Psychology', 'Physics', 'Biology', 'Computer Science']",Urban,Private,Jewish,NCAA Division III
89,Princeton University,PA,0.727,1198,30,2.88,36150,68621,9418,45568,78039,Medium,37905,0.831,0.703,0.463,0.43,0.645,"['Medicine', 'Architecture', 'Art', 'Music']",Suburban,Public,Catholic,NCAA Division III
90,"University of California, Berkeley",AZ,0.897,1466,31,2.7,33979,20359,19981,53960,40340,Medium,31527,0.625,0.865,0.428,0.326,0.618,"['Art', 'Nursing', 'Education', 'Computer Science', 'Economics', 'Political Science']",Urban,Private,Jewish,NCAA Division II
91,Northeastern University,IN,0.326,1327,26,2.97,59264,25107,11945,71209,37052,Small,29358,0.764,0.761,0.736,0.11,0.752,"['Education', 'Environmental Science', 'Music', 'Psychology']",Rural,Public,Other,None
92,Baylor University,OR,0.367,1109,18,3.4,55475,18015,13126,68601,31141,Small,20381,0.81,0.929,0.657,0.142,0.785,"['History', 'Education', 'Biology']",Urban,Private,Jewish,NAIA
93,Dartmouth College,CO,0.485,1399,28,2.96,9224,20823,16499,25723,37322,Small,23986,0.768,0.843,0.659,0.678,0.747,"['Music', 'Economics', 'Biology', 'Education', 'Architecture', 'History', 'Mathematics']",Suburban,Public,Catholic,None
94,University of Iowa (CA),CA,0.814,1212,24,3.45,15712,29261,17169,32881,46430,Medium,45417,0.726,0.905,0.415,0.589,0.655,"['History', 'Music', 'Art', 'Environmental Science']",Urban,Private,Jewish,NAIA
95,University of Rochester,PA,0.434,1174,33,3.39,42484,19626,17852,60336,37478,Medium,6979,0.732,0.794,0.633,0.246,0.711,"['Nursing', 'Engineering', 'Education', 'Environmental Science', 'Business', 'Psychology', 'Music', 'Economics']",Rural,Private,Other,NCAA Division III
96,University of Pennsylvania,NJ,0.839,1593,36,2.86,57076,18094,19230,76306,37324,Medium,5218,0.765,0.765,0.495,0.046,0.657,"['Architecture', 'Education', 'Medicine', 'Mathematics', 'Economics', 'Computer Science']",Urban,Public,Other,None
97,MIT (CO),CO,0.628,1306,25,3.77,24691,44292,11187,35878,55479,Large,8732,0.69,0.771,0.55,0.552,0.658,"['Biology', 'Political Science', 'Medicine']",Urban,Public,Catholic,NCAA Division III
98,"University of California, Los Angeles",CT,0.565,1064,31,2.88,28595,62217,13437,42032,75654,Small,33942,0.939,0.816,0.527,0.475,0.737,"['History', 'Education', 'Computer Science', 'Chemistry', 'Art', 'Nursing', 'Economics', 'Psychology']",Rural,Public,None,NCAA Division II
99,Southern Methodist University,NJ,0.675,1139,24,3.03,45426,65982,19643,65069,85625,Small,6972,0.744,0.86,0.48,0.187,0.673,"['Chemistry', 'History', 'Environmental Science']",Suburban,Private,Other,NCAA Division I
100,Brandeis University,PA,0.063,1084,30,2.87,44137,47529,19550,63687,67079,Large,39152,0.707,0.884,0.833,0.204,0.811,"['Economics', 'Environmental Science', 'Mathematics', 'Education']",Urban,Private,Other,None
101,Southern Methodist University,MA,0.577,1275,24,3.91,22726,48510,17994,40720,66504,Large,46869,0.904,0.948,0.572,0.491,0.784,"['Art', 'Economics', 'Mathematics', 'Chemistry', 'Medicine']",Urban,Private,Jewish,NCAA Division I
102,MIT (NY),NY,0.29,1055,28,2.65,13590,73939,19671,33261,93610,Medium,26007,0.976,0.836,0.69,0.584,0.82,"['Environmental Science', 'Art', 'Medicine', 'Psychology']",Rural,Public,Jewish,NCAA Division I
103,Northwestern University (AZ),AZ,0.301,1060,20,3.01,7381,76130,11821,19202,87951,Medium,3312,0.912,0.825,0.685,0.76,0.795,"['Medicine', 'Political Science', 'Physics']",Rural,Public,Protestant,NCAA Division III
104,Brown University,NJ,0.712,1544,35,3.07,38158,54077,12630,50788,66707,Large,47685,0.8,0.711,0.559,0.365,0.677,"['Engineering', 'Nursing', 'Psychology', 'Education', 'Art', 'Music']",Urban,Private,Jewish,NAIA
105,University of Illinois,CT,0.883,1388,24,2.79,24093,34177,11950,36043,46127,Medium,10203,0.889,0.929,0.417,0.549,0.713,"['Biology', 'Architecture', 'Computer Science', 'Music', 'Environmental Science', 'Chemistry', 'Physics']",Urban,Public,Catholic,NAIA
106,University of Utah,OH,0.451,1086,36,3.16,43389,18516,13808,57197,32324,Medium,19650,0.672,0.917,0.601,0.285,0.717,"['Environmental Science', 'Nursing', 'Law', 'Political Science', 'Mathematics', 'Engineering', 'English', 'History']",Rural,Public,Other,None
107,Arizona State University,NJ,0.173,1056,22,3.83,12771,38382,17330,30101,55712,Small,20308,0.681,0.812,0.76,0.624,0.752,"['Business', 'Chemistry', 'Music', 'Architecture', 'Political Science', 'Education']",Suburban,Public,Jewish,None
108,Syracuse University,TX,0.092,1229,21,3.99,55873,21124,11779,67652,32903,Large,21840,0.741,0.705,0.852,0.154,0.775,"['Music', 'Medicine', 'Art']",Suburban,Private,Protestant,NCAA Division II
109,Texas A&M University,IL,0.669,1504,24,3.2,59234,54259,14117,73351,68376,Medium,30103,0.804,0.954,0.575,0.083,0.757,"['Chemistry', 'Computer Science', 'Nursing', 'Architecture', 'Economics']",Rural,Private,Other,NCAA Division III
110,Purdue University,MA,0.089,1170,27,3.29,10290,31851,15805,26095,47656,Medium,47969,0.948,0.942,0.839,0.674,0.903,"['Physics', 'History', 'Law', 'Architecture', 'Music', 'Economics', 'Chemistry', 'Biology']",Urban,Public,Protestant,None
111,Duke University,NJ,0.747,1436,25,3.15,52136,41169,15505,67641,56674,Medium,3182,0.916,0.947,0.511,0.154,0.763,"['Architecture', 'Medicine', 'Environmental Science', 'Chemistry', 'Business']",Urban,Private,Other,NCAA Division II
112,Boston College (NJ),NJ,0.36,1406,36,3.13,34674,17117,10345,45019,27462,Small,15887,0.606,0.714,0.736,0.437,0.69,"['Medicine', 'Nursing', 'Psychology']",Rural,Public,None,NAIA
113,Case Western Reserve University,OH,0.882,1378,20,3.84,36333,51379,17297,53630,68676,Large,13059,0.644,0.871,0.415,0.33,0.62,"['Computer Science', 'History', 'Architecture', 'Nursing', 'Physics', 'Chemistry', 'Law']",Rural,Public,Jewish,NAIA
